epoch, epoch_psnr_avg, epoch_losses_avg 
409, 32.3432, 0.023688
410, 32.3286, 0.023761
411, 32.3255, 0.023595
412, 32.3322, 0.023953
413, 32.3341, 0.023792
414, 32.3268, 0.024036
415, 32.3036, 0.023484
416, 32.3194, 0.023687
417, 32.2856, 0.023819
418, 32.3009, 0.023766
419, 32.3111, 0.023763
420, 32.3240, 0.023980
421, 32.3234, 0.023485
422, 32.3235, 0.023502
423, 32.3299, 0.023720
424, 32.3041, 0.023777
425, 32.3086, 0.023645
426, 32.3101, 0.023517
427, 32.3287, 0.023665
428, 32.3226, 0.023768
429, 32.3343, 0.023352
430, 32.3158, 0.023246
431, 32.2966, 0.023424
432, 32.3590, 0.023906
433, 32.3521, 0.023685
434, 32.3544, 0.023350
435, 32.3248, 0.023677
436, 32.3331, 0.023665
437, 32.3487, 0.023551
438, 32.3070, 0.023623
439, 32.3251, 0.023317
440, 32.3330, 0.023569
441, 32.3577, 0.023871
442, 32.3364, 0.023750
443, 32.3485, 0.023727
444, 32.3553, 0.023946
445, 32.3425, 0.023463
446, 32.3514, 0.023607
447, 32.3463, 0.023816
448, 32.3228, 0.023505
449, 32.3408, 0.024026
450, 32.3407, 0.023487
451, 32.3366, 0.023949
452, 32.3292, 0.023669
453, 32.3418, 0.023405
454, 32.3181, 0.023623
455, 32.3327, 0.023888
456, 32.3106, 0.023873
457, 32.3034, 0.023521
458, 32.3409, 0.023881
459, 32.3250, 0.023772
460, 32.3284, 0.024002
461, 32.3085, 0.023866
462, 32.3247, 0.023374
463, 32.3164, 0.023433
464, 32.3282, 0.023511
465, 32.3503, 0.023834
466, 32.3516, 0.024000
467, 32.3470, 0.023230
468, 32.3283, 0.023356
469, 32.3185, 0.023482
470, 32.3529, 0.023502
471, 32.3550, 0.023757
472, 32.3534, 0.023567
473, 32.3108, 0.023768
474, 32.3121, 0.023596
475, 32.3283, 0.023583
476, 32.3204, 0.023643
477, 32.3553, 0.023404
478, 32.3233, 0.023713
479, 32.3194, 0.023884
480, 32.3300, 0.023717
481, 32.3454, 0.023538
482, 32.3284, 0.023554
483, 32.3310, 0.023839
484, 32.3555, 0.023541
485, 32.3624, 0.023338
486, 32.3567, 0.023610
487, 32.3401, 0.024062
488, 32.3618, 0.023512
489, 32.3236, 0.023590
490, 32.3283, 0.023419
491, 32.3166, 0.024001
492, 32.3158, 0.023868
493, 32.3565, 0.023983
494, 32.3192, 0.023459
495, 32.3429, 0.023525
496, 32.3292, 0.023516
497, 32.3456, 0.023674
498, 32.3496, 0.023515
499, 32.3500, 0.023438
500, 32.3593, 0.024045
501, 32.3385, 0.023644
502, 32.3299, 0.023765
503, 32.3373, 0.023597
504, 32.3523, 0.023385
505, 32.3224, 0.023929
506, 32.3436, 0.023872
507, 32.3552, 0.023653
508, 32.3572, 0.023576
509, 32.3514, 0.023293
510, 32.3634, 0.023587
511, 32.3480, 0.023771
512, 32.3559, 0.023562
513, 32.3488, 0.023936
514, 32.2950, 0.023562
515, 32.3225, 0.023414
516, 32.3506, 0.023675
517, 32.3331, 0.023707
518, 32.3545, 0.023828
519, 32.3347, 0.023470
520, 32.3589, 0.023385
521, 32.3282, 0.023782
522, 32.2967, 0.023975
523, 32.3311, 0.023437
524, 32.3333, 0.023624
525, 32.3434, 0.023328
526, 32.3372, 0.023369
527, 32.3331, 0.023753
528, 32.3384, 0.023650
529, 32.3257, 0.023405
530, 32.3663, 0.023186
531, 32.2932, 0.023545
532, 32.3722, 0.023132
533, 32.3313, 0.023788
534, 32.3119, 0.023747
535, 32.3202, 0.023818
536, 32.3329, 0.023750
537, 32.3414, 0.023404
538, 32.3367, 0.023728
539, 32.3356, 0.023154
540, 32.3515, 0.023498
541, 32.3730, 0.023273
542, 32.3650, 0.023706
543, 32.3521, 0.023361
544, 32.3529, 0.024154
545, 32.3069, 0.024145
546, 32.3185, 0.023796
547, 32.2909, 0.023616
548, 32.3509, 0.023348
549, 32.3408, 0.023802
550, 32.3429, 0.023393
551, 32.3567, 0.023758
552, 32.3607, 0.023528
553, 32.3208, 0.023911
554, 32.3614, 0.024002
555, 32.3113, 0.024063
556, 32.3578, 0.023595
557, 32.3621, 0.023837
558, 32.3577, 0.023755
559, 32.3320, 0.023542
560, 32.3102, 0.023717
561, 32.3504, 0.023836
562, 32.3546, 0.023577
563, 32.3566, 0.023797
564, 32.3677, 0.023719
565, 32.3725, 0.023419
566, 32.3447, 0.023422
567, 32.3419, 0.023605
568, 32.3232, 0.023653
569, 32.3131, 0.023566
570, 32.3407, 0.023243
571, 32.3252, 0.023543
572, 32.3423, 0.023342
573, 32.3541, 0.023425
574, 32.3463, 0.023630
575, 32.3597, 0.023291
576, 32.3754, 0.023567
577, 32.3920, 0.023468
578, 32.3228, 0.023425
579, 32.3380, 0.023384
580, 32.3748, 0.023800
581, 32.3946, 0.023374
582, 32.3802, 0.023895
583, 32.3705, 0.023593
584, 32.3742, 0.023758
585, 32.3562, 0.023658
586, 32.3397, 0.023830
587, 32.3760, 0.023806
588, 32.3588, 0.023598
589, 32.3787, 0.023650
590, 32.3734, 0.023259
591, 32.3905, 0.023541
592, 32.3830, 0.023608
593, 32.3448, 0.023545
594, 32.3663, 0.023383
595, 32.3348, 0.023823
596, 32.3161, 0.023272
597, 32.3035, 0.023489
598, 32.3703, 0.023391
599, 32.3407, 0.023495
600, 32.3461, 0.023528
601, 32.3838, 0.023344
602, 32.3923, 0.023500
603, 32.3615, 0.023513
604, 32.3726, 0.023651
605, 32.3506, 0.023645
606, 32.3629, 0.023502
607, 32.3588, 0.023474
608, 32.3823, 0.023764
609, 32.3602, 0.023343
610, 32.3780, 0.023488
611, 32.3706, 0.023732
612, 32.3463, 0.023422
613, 32.3769, 0.023311
614, 32.3643, 0.023616
615, 32.3737, 0.023513
616, 32.3790, 0.023553
617, 32.3901, 0.023546
618, 32.3632, 0.023435
619, 32.3615, 0.023406
620, 32.3797, 0.023155
621, 32.3597, 0.023581
622, 32.3850, 0.023512
623, 32.3721, 0.023584
624, 32.3761, 0.023440
625, 32.3670, 0.023361
626, 32.3717, 0.023810
627, 32.3713, 0.023369
628, 32.3775, 0.023283
629, 32.3673, 0.023298
630, 32.3618, 0.023265
631, 32.3690, 0.023262
632, 32.3956, 0.023409
633, 32.3913, 0.023348
634, 32.3753, 0.023817
635, 32.4121, 0.023698
636, 32.3834, 0.023538
637, 32.3932, 0.023314
638, 32.3829, 0.023678
639, 32.3897, 0.023471
640, 32.3928, 0.023663
641, 32.3804, 0.023535
642, 32.3983, 0.023603
643, 32.3832, 0.023322
644, 32.3560, 0.023454
645, 32.3834, 0.023907
646, 32.3793, 0.023380
647, 32.3923, 0.023667
648, 32.3813, 0.023607
649, 32.3667, 0.023346
650, 32.3777, 0.023229
651, 32.3667, 0.023478
