epoch, epoch_psnr_avg, epoch_losses_avg 
587, 32.2970, 0.023539
588, 32.3133, 0.023898
589, 32.2832, 0.023479
590, 32.3530, 0.023398
591, 32.3166, 0.023016
592, 32.3176, 0.023301
593, 32.2818, 0.023741
594, 32.3036, 0.023424
595, 32.3436, 0.023686
596, 32.2832, 0.023822
597, 32.3108, 0.023708
598, 32.2676, 0.023138
599, 32.2948, 0.023749
600, 32.3535, 0.023552
601, 32.3407, 0.023332
602, 32.3443, 0.023345
603, 32.3530, 0.023201
604, 32.3336, 0.023517
605, 32.3406, 0.023381
606, 32.3507, 0.023015
607, 32.3501, 0.023677
608, 32.3561, 0.023667
609, 32.3308, 0.023574
610, 32.3506, 0.023425
611, 32.3469, 0.023231
612, 32.3477, 0.023659
613, 32.3664, 0.023583
614, 32.3503, 0.023346
615, 32.3466, 0.023327
616, 32.3546, 0.023634
617, 32.3568, 0.023778
618, 32.3607, 0.023772
619, 32.3506, 0.023878
620, 32.3260, 0.023321
621, 32.3411, 0.023287
622, 32.3505, 0.023481
623, 32.3313, 0.023849
624, 32.3592, 0.023421
625, 32.3186, 0.023257
626, 32.3492, 0.023256
627, 32.3492, 0.023144
628, 32.3508, 0.023475
629, 32.3745, 0.023808
630, 32.3616, 0.022830
631, 32.3340, 0.023408
632, 32.3654, 0.023542
633, 32.3393, 0.023315
634, 32.3435, 0.023183
635, 32.3298, 0.023202
636, 32.3427, 0.023319
637, 32.3715, 0.023021
638, 32.3443, 0.023498
639, 32.3355, 0.023463
640, 32.3468, 0.022964
641, 32.3599, 0.023560
642, 32.3428, 0.023707
643, 32.3484, 0.023713
644, 32.3594, 0.023120
645, 32.3564, 0.023697
646, 32.3660, 0.023726
647, 32.3654, 0.023441
648, 32.3428, 0.023385
649, 32.3570, 0.023396
650, 32.3570, 0.023631
651, 32.3688, 0.023333
652, 32.3290, 0.023198
653, 32.3681, 0.023131
654, 32.3758, 0.023224
655, 32.3597, 0.023418
656, 32.3514, 0.023405
657, 32.3546, 0.023039
658, 32.3779, 0.023312
659, 32.3426, 0.023437
660, 32.3429, 0.023322
